NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
ANKRD13B	1	ANKRD13B
ANKRD13C	1	ANKRD13C
ANKRD13D	1	ANKRD13D
ANKRD16	1	ANKRD16
ANKRD17	1	ANKRD17
ANKRD18A	1	ANKRD18A
ANKRD18B	1	ANKRD18B
ANKRD18CP	1	ANKRD18CP
ANKRD2	1	ANKRD2
ANKRD20A5P	1	ANKRD20A5P
ANKRD23	1	ANKRD23
ANKRD24	1	ANKRD24
ANKRD26	1	ANKRD26
ANKRD27	1	ANKRD27
ANKRD28	1	ANKRD28
ANKRD29	1	ANKRD29
ANKRD30B	1	ANKRD30B
ANKRD31	1	ANKRD31
ANKRD33B	1	ANKRD33B
ANKRD34A	1	ANKRD34A
ANKRD35	1	ANKRD35
ANKRD36	1	ANKRD36
ANKRD36B	1	ANKRD36B
ANKRD36C	1	ANKRD36C
ANKRD37	1	ANKRD37
ANKRD39	1	ANKRD39
ANKRD40	1	ANKRD40
ANKRD42	1	ANKRD42
ANKRD44	1	ANKRD44
ANKRD46	1	ANKRD46
ANKRD49	1	ANKRD49
ANKRD50	1	ANKRD50
ANKRD52	1	ANKRD52
ANKRD53	1	ANKRD53
ANKRD54	1	ANKRD54
ANKRD6	1	ANKRD6
ANKRD61	1	ANKRD61
ANKRD63	1	ANKRD63
ANKRD65	1	ANKRD65
ANKRD7	1	ANKRD7
ANKRD9	1	ANKRD9
ANKS1A	1	ANKS1A
ANKS3	1	ANKS3
ANKZF1	1	ANKZF1
ANLN	1	ANLN
ANO10	1	ANO10
ANO4	1	ANO4
ANO6	1	ANO6
ANO7	1	ANO7
ANO8	1	ANO8
ANOS1	1	ANOS1
ANP32A	1	ANP32A
ANP32B	1	ANP32B
ANP32E	1	ANP32E
ANPEP	1	ANPEP
ANTKMT	1	FAM173A
ANTXR1	1	ANTXR1
ANTXR2	1	ANTXR2
ANXA1	1	ANXA1
ANXA11	1	ANXA11
ANXA13	1	ANXA13
ANXA2	1	ANXA2
ANXA2P2	1	ANXA2P2
ANXA2P3	1	ANXA2P3
ANXA2R	1	ANXA2R
ANXA2R-AS1	1	LOC153684
ANXA2R-OT1	1	LOC648987
ANXA3	1	ANXA3
ANXA4	1	ANXA4
ANXA5	1	ANXA5
ANXA6	1	ANXA6
ANXA7	1	ANXA7
AOC2	1	AOC2
AOC3	1	AOC3
AOPEP	1	C9orf3
AOX1	1	AOX1
AOX3P-AOX2P	1	AOX3P-AOX2P
AP1AR	1	AP1AR
AP1B1	1	AP1B1
AP1G1	1	AP1G1
AP1G2	1	AP1G2
AP1G2-AS1	1	LOC102724814
AP1M1	1	AP1M1
AP1S1	1	AP1S1
AP1S2	1	AP1S2
AP1S3	1	AP1S3
AP2A1	1	AP2A1
AP2A2	1	AP2A2
AP2B1	1	AP2B1
AP2M1	1	AP2M1
AP2S1	1	AP2S1
AP3B1	1	AP3B1
AP3B2	1	AP3B2
AP3D1	1	AP3D1
AP3M1	1	AP3M1
AP3M2	1	AP3M2
AP3S1	1	AP3S1
AP3S2	1	AP3S2
AP4B1	1	AP4B1
AP4E1	1	AP4E1
AP4M1	1	AP4M1
AP4S1	1	AP4S1
AP5B1	1	AP5B1
AP5M1	1	AP5M1
AP5S1	1	AP5S1
AP5Z1	1	AP5Z1
APAF1	1	APAF1
APBA1	1	APBA1
APBA2	1	APBA2
APBA3	1	APBA3
APBB1	1	APBB1
APBB1IP	1	APBB1IP
APBB2	1	APBB2
APBB3	1	APBB3
APC	1	APC
APC2	1	APC2
APCDD1L	1	APCDD1L
APCDD1L-DT	1	APCDD1L-DT
APEH	1	APEH
APEX1	1	APEX1
APEX2	1	APEX2
APH1A	1	APH1A
APH1B	1	APH1B
API5	1	API5
APIP	1	APIP
APLF	1	APLF
APLN	1	APLN
APLP1	1	APLP1
APLP2	1	APLP2
APMAP	1	APMAP
APOB	1	APOB
APOBEC3B	1	APOBEC3B
APOBEC3C	1	APOBEC3C
APOBEC3D	1	APOBEC3D
APOBEC3F	1	APOBEC3F
APOBEC3G	1	APOBEC3G
